frame_idx,pose_detected,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,mid_hip_x,mid_hip_y,mid_hip_z,torso_length
0,1,0.240460103591,-0.018056617407,0.0,-0.240460103591,0.018056617407,0.0,0.379916221023,0.428154354643,0.0,-0.119215105818,0.583601430863,0.0,0.272085425104,0.883213755844,0.0,-0.027336338988,1.067271826799,0.0,0.203471047821,0.915926189268,0.0,0.023366677338,1.110832800109,0.0,0.316235988741,1.147598204744,0.0,-0.05917947218,1.316053835331,0.0,0.661497086287,0.459720239043,-0.000325511908,-0.306216809563
1,1,0.227098061811,-0.017756703261,0.0,-0.227098061811,0.017756703261,0.0,0.363106360317,0.365050685861,0.0,-0.113100273809,0.545363565187,0.0,0.256582815383,0.814266471335,0.0,-0.024727654994,0.996989791317,0.0,0.192906689141,0.840477530498,0.0,0.02185998325,1.035560668777,0.0,0.297585819628,1.066017471223,0.0,-0.04969567978,1.224387814217,0.0,0.662136971951,0.46039275825,-0.000312610064,-0.327073240526
2,1,0.232322756642,-0.01940143909,0.0,-0.232322756642,0.01940143909,0.0,0.37067824017,0.326135674076,0.0,-0.115508897923,0.555143743234,0.0,0.262402894891,0.813767540574,0.0,-0.023236527045,1.013753407616,0.0,0.199977994116,0.846284951757,0.0,0.023964541229,1.052592316014,0.0,0.303862469109,1.063259483652,0.0,-0.046298089866,1.238007155132,0.0,0.662598282099,0.460147157311,-0.000299381558,-0.321760563012
3,1,0.242080364661,-0.020748612267,0.0,-0.242080364661,0.020748612267,0.0,0.385341953366,0.286793001921,0.0,-0.120212093629,0.577733416104,0.0,0.273925861931,0.813101913972,0.0,-0.020761070112,1.045320724985,0.0,0.211365333286,0.843216677694,0.0,0.026546856038,1.085430212422,0.0,0.323081940397,1.079584667025,0.0,-0.042157633507,1.273658988911,0.0,0.663593262434,0.45995901525,-0.000288991258,-0.31218907482
4,1,0.234146582054,-0.020882122859,0.0,-0.234146582054,0.020882122859,0.0,0.370968962073,0.248700819383,0.0,-0.113105545912,0.554979149961,0.0,0.268637093345,0.748012632057,0.0,-0.01646633202,0.999132998958,0.0,0.208379539743,0.772246888775,0.0,0.02943034317,1.03950714589,0.0,0.312126020119,1.008404348694,0.0,-0.037909049395,1.218822754869,0.0,0.664437025785,0.459548920393,-0.000253876438,-0.325829862164
5,1,0.237428102664,-0.022377273192,0.0,-0.237428102664,0.022377273192,0.0,0.372715344123,0.238526425177,0.0,-0.112824468453,0.561346270151,0.0,0.275904124931,0.739487345516,0.0,-0.012786736852,1.007012949262,0.0,0.215100305119,0.765307552522,0.0,0.034486184465,1.048591472352,0.0,0.320816587998,1.00018273022,0.0,-0.03670917965,1.226578684904,0.0,0.665099531412,0.459065794945,-0.000231940998,-0.3234691822
6,1,0.240682164965,-0.023667205639,0.0,-0.240682164965,0.023667205639,0.0,0.374751891208,0.233002141146,0.0,-0.114977077826,0.569665946895,0.0,0.281338823993,0.733082913334,0.0,-0.008975044748,1.016801650199,0.0,0.219225588721,0.754943762501,0.0,0.041196433081,1.059004955198,0.0,0.339874197434,1.000578317232,0.0,-0.037845707577,1.238567002236,0.0,0.66556417942,0.458723947406,-0.000224601303,-0.320674710666
7,1,0.242571555926,-0.025271939162,0.0,-0.242571555926,0.025271939162,0.0,0.372879057448,0.218510177942,0.0,-0.11411893747,0.575666732709,0.0,0.28979636199,0.735476349758,0.0,-0.003369348465,1.024336095041,0.0,0.226153238035,0.760445555001,0.0,0.048155243573,1.065850759867,0.0,0.346514851312,1.003786702023,0.0,-0.024995420025,1.249804378275,0.0,0.666509985924,0.458154186606,-0.000224779651,-0.318318508506
8,1,0.237296501769,-0.025055824215,0.0,-0.237296501769,0.025055824215,0.0,0.357230895137,0.212219617911,0.0,-0.109931245279,0.55931936609,0.0,0.286901533593,0.713427451834,0.0,0.000272499017,0.99833342471,0.0,0.224106783543,0.735849316414,0.0,0.05090535082,1.040590737975,0.0,0.351300827871,0.978377270539,0.0,-0.02041736947,1.221045622284,0.0,0.667161732912,0.457902356982,-0.000224721793,-0.32689711181
9,1,0.240353753703,-0.025437002365,0.0,-0.240353753703,0.025437002365,0.0,0.35819418764,0.204086660961,0.0,-0.10958531146,0.563345234783,0.0,0.296407263067,0.72171590774,0.0,0.004641113108,1.006279750992,0.0,0.236053233154,0.747029584193,0.0,0.055176453681,1.049664759888,0.0,0.358424861273,0.984840510032,0.0,-0.014060347709,1.230676711171,0.0,0.668339818716,0.457683801651,-0.000224071497,-0.324542656191
10,1,0.240945059524,-0.025651092929,0.0,-0.240945059524,0.025651092929,0.0,0.356122855173,0.203942082414,0.0,-0.110436705409,0.564631246177,0.0,0.298402963102,0.727254900553,0.0,0.00649718587,1.01005602567,0.0,0.238111573008,0.754376965047,0.0,0.056443158114,1.056132884126,0.0,0.358800694031,0.987546908869,0.0,-0.01386837198,1.233923538141,0.0,0.668436318636,0.457610830665,-0.000222957722,-0.323972296638
