frame_idx,pose_detected,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,mid_hip_x,mid_hip_y,mid_hip_z,torso_length
0,1,0.2541662146130023,-0.0012933915834953,0.0,-0.2541662146130023,0.0012933915834953,0.0,0.3137920272795771,0.5303902701848398,0.0,-0.2356831529899037,0.5302019384960635,0.0,0.3141139525260034,0.9266672414548792,0.0,-0.1760116800505824,0.9303260248532356,0.0,0.25191165396463,0.9750394905197408,0.0,-0.124631001620549,0.967661765974959,0.0,0.4715692706343305,1.1028069599557448,0.0,-0.3215052261131432,1.0951395568853488,0.0,0.5070024728775024,0.4830143451690674,-0.0002606986672617,0.2199588841796162
1,1,0.2588397466737112,-0.0013226246186103,0.0,-0.2588397466737112,0.0013226246186103,0.0,0.318673211444003,0.537501633773168,0.0,-0.2371633681285237,0.5399897558672858,0.0,0.319149554783094,0.9393424488078,0.0,-0.1781358002053572,0.944079970003181,0.0,0.2568467129111949,0.988820407862644,0.0,-0.1253016605061652,0.9822745462133065,0.0,0.4778769137907966,1.1209822532197664,0.0,-0.3177285189538034,1.1120025748222606,0.0,0.5070581287145615,0.4834581613540649,-0.0002598073333501,0.2162239244667853
2,1,0.2811784834662741,-0.0013422733275226,0.0,-0.2811784834662741,0.0013422733275226,0.0,0.3446151987751907,0.5828863237563838,0.0,-0.2522154089477165,0.585779490687948,0.0,0.346885047203149,1.017406318535894,0.0,-0.1926259805446935,1.0217644634092344,0.0,0.2850529882146956,1.0710066251940975,0.0,-0.1360152608640364,1.0662306415733789,0.0,0.5180517778204988,1.2162700453484987,0.0,-0.3388490539710805,1.206410307118476,0.0,0.5071103721857071,0.4835001677274704,-0.0002526523312553,0.1992818743440641
3,1,0.2989905665413104,-0.0012521227646285,0.0,-0.2989905665413104,0.0012521227646285,0.0,0.3669104211127507,0.6241114201762233,0.0,-0.2659966828326401,0.6277010347309455,0.0,0.368794206087998,1.0758778856536897,0.0,-0.2040675695488788,1.0807570412727765,0.0,0.3041938552026968,1.130698951986315,0.0,-0.1435997560641516,1.1290274423760251,0.0,0.5494055861422462,1.2897481758453118,0.0,-0.3598222352548935,1.2787784968059164,0.0,0.5070855468511581,0.4842243939638138,-0.0002469681203365,0.1875672323918696
4,1,0.289251711584657,-0.0008638953574443,0.0,-0.289251711584657,0.0008638953574443,0.0,0.3554262040386572,0.6078015260114374,0.0,-0.2579001300182572,0.6090629012362289,0.0,0.3586329070275087,1.0447110256606935,0.0,-0.2034834455959843,1.0495227784459873,0.0,0.3075198832001056,1.0990804664086966,0.0,-0.1408761593315564,1.0981757346073162,0.0,0.5257251370194385,1.2536423153426008,0.0,-0.3524050791428533,1.2432428401416833,0.0,0.5081484317779541,0.4843661338090896,-0.000247796298936,0.1930313590452366
5,1,0.2970878257219209,-0.0013865855255415,0.0,-0.2970878257219209,0.0013865855255415,0.0,0.3629845268674718,0.6225574228937253,0.0,-0.2634181529622059,0.6240301553500451,0.0,0.3700222877087368,1.0706940735189794,0.0,-0.2070015731604813,1.0750853499720705,0.0,0.319261158897609,1.12650018196381,0.0,-0.1452600362000245,1.1265122171967863,0.0,0.5386821423397395,1.2854273337168112,0.0,-0.3606104188045528,1.2742684557311088,0.0,0.5086684823036194,0.484528511762619,-0.0002412346657365,0.1881954845336687
6,1,0.2950802299796333,-0.0015627598000873,0.0,-0.2950802299796333,0.0015627598000873,0.0,0.3603809163198149,0.6165014297016379,0.0,-0.260841025980497,0.6184366794872778,0.0,0.367460899042255,1.060297225076109,0.0,-0.2050637560375071,1.0647837718248452,0.0,0.3164443938871757,1.1146383094859469,0.0,-0.1370630283161906,1.1176584815596036,0.0,0.5345508812655767,1.2750674978012997,0.0,-0.3588041625945633,1.26327203400384,0.0,0.5088029056787491,0.485053688287735,-0.0002389582805335,0.1895398654321366
7,1,0.2951654274865254,-0.001571933300697,0.0,-0.2951654274865254,0.001571933300697,0.0,0.3635093783269815,0.6202263377476684,0.0,-0.2628415123300754,0.6206253633247523,0.0,0.3694088277338585,1.0653407906909644,0.0,-0.2073772730501694,1.0700279984990524,0.0,0.3194330067636116,1.1208675850494632,0.0,-0.136570768875921,1.1245687605328651,0.0,0.5338402227053769,1.281806321466222,0.0,-0.3619124861817955,1.269477284158132,0.0,0.5090666562318802,0.4850488901138305,-0.0002405745908617,0.1886612555052103
8,1,0.2976242458973801,-0.0009852836932804,0.0,-0.2976242458973801,0.0009852836932804,0.0,0.3658307601414682,0.6240541586667072,0.0,-0.264876807866913,0.6264806961913177,0.0,0.371734507483669,1.0697221716922225,0.0,-0.2090241251718682,1.074651294796568,0.0,0.3211291405922372,1.1251013836507575,0.0,-0.1383654588908787,1.130724485032205,0.0,0.5375459958425265,1.2890698998954604,0.0,-0.3654621338993672,1.276502561045209,0.0,0.5091286599636078,0.4857364892959595,-0.0002388288266956,0.1873224775825731
9,1,0.2942394618148887,-0.0010806454224267,0.0,-0.2942394618148887,0.0010806454224267,0.0,0.3618647749485077,0.6177138395527434,0.0,-0.2628870415836433,0.6196155612886974,0.0,0.3675485194046644,1.0593914690747837,0.0,-0.20784216742765,1.064930308445875,0.0,0.3180350818599819,1.1156442531192174,0.0,-0.1368029219909994,1.1218332753067757,0.0,0.5295483093638906,1.27675760197111,0.0,-0.3637939026462023,1.2645228876257866,0.0,0.5092598348855972,0.485781580209732,-0.0002400041557848,0.1892144543052851
