frame_idx,pose_detected,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,mid_hip_x,mid_hip_y,mid_hip_z,torso_length
0,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,
1,0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,
2,1,0.0990297451296626,-0.0678967228118138,0.0,-0.0990295939867471,0.0678970250976447,0.0,0.7140024582298078,0.2766193457636017,0.0,0.5970199575904254,0.4090921815324683,0.0,1.640273352210343,0.4309568179826034,0.0,1.5307316173037735,0.2497258822270935,0.0,1.620273352210343,0.4409568179826034,0.0,1.5107316173037737,0.2597258822270935,0.0,1.670273352210343,0.4509568179826034,0.0,1.5607316173037735,0.2697258822270935,0.0,0.1185825586318969,0.4118032667371962,0.0,100.95603228498815
3,1,0.0712075846440343,-0.0728845125944974,0.0,-0.0712075846440345,0.0728845125944974,0.0,0.7142892582831485,0.30443298798517,0.0,0.6052845064428134,0.4607127891198381,0.0,1.7336431838436603,0.4030696777821055,0.0,1.6342857967599946,0.1957325129553421,0.0,1.7136431838436603,0.4130696777821055,0.0,1.6142857967599946,0.2057325129553421,0.0,1.7636431838436604,0.4230696777821055,0.0,1.6642857967599949,0.2157325129553421,0.0,0.1129748582839965,0.4145049201117621,0.0,96.33377496037568
4,1,0.0617859456752604,-0.0919980714299584,0.0,-0.0617861034796602,0.0919980714299584,0.0,0.7839691021129159,0.3065887001052859,0.0,0.7016381282146379,0.5031653253259701,0.0,1.8069904085227853,0.3490011574216355,0.0,1.6649118483814491,0.2259560171576436,0.0,1.7869904085227852,0.3590011574216355,0.0,1.644911848381449,0.2359560171576436,0.0,1.8369904085227853,0.3690011574216355,0.0,1.6949118483814491,0.2459560171576436,0.0,0.1113563299179077,0.4182463328043619,0.0,96.69431956235492
5,1,0.0390429596647197,-0.0793625472823004,0.0,-0.0390428208102548,0.0793625472823004,0.0,0.6725515996186299,0.321073179834667,0.0,0.5867950819237415,0.4770495114065741,0.0,1.4504406959028373,0.2417122988059487,0.0,1.2924479197875935,0.1449840566904332,0.0,1.4304406959028373,0.2517122988059487,0.0,1.2724479197875935,0.1549840566904332,0.0,1.4804406959028371,0.2617122988059487,0.0,1.3224479197875936,0.1649840566904332,0.0,0.1261502027511596,0.4176522148980034,0.0,109.89051769253123
6,1,0.0493256994438341,-0.0819099271723257,0.0,-0.0493258458621627,0.0819099271723257,0.0,0.7340207054973042,0.3266502136232515,0.0,0.6506861279857246,0.4931966700868735,0.0,1.616992776885966,0.3135006763501057,0.0,1.4782467685121818,0.2132916792806309,0.0,1.596992776885966,0.3235006763501057,0.0,1.4582467685121818,0.2232916792806309,0.0,1.646992776885966,0.3335006763501058,0.0,1.508246768512182,0.2332916792806309,0.0,0.1195741415023803,0.4167470296223958,0.0,104.2136540366018
7,1,0.0452585908569132,-0.0883177929873988,0.0,-0.0452585908569134,0.0883181021508411,0.0,0.7449548194963356,0.3347021972958592,0.0,0.6633451002918516,0.5306246354367319,0.0,1.720583593832177,0.2890740015440282,0.0,1.5411843958492912,0.1591499200218485,0.0,1.700583593832177,0.2990740015440282,0.0,1.5211843958492912,0.1691499200218485,0.0,1.750583593832177,0.3090740015440282,0.0,1.5711843958492913,0.1791499200218485,0.0,0.1126600265502929,0.4215331183539496,0.0,98.71017713812446
8,1,0.0320175421807637,-0.0862848503789674,0.0,-0.0320176847489793,0.0862848503789678,0.0,0.6920905599170558,0.2922711152184845,0.0,0.6388644273982231,0.4875542138313672,0.0,1.556726583995376,0.2601011676151205,0.0,1.4150736562246635,0.1434147857805254,0.0,1.536726583995376,0.2701011676151205,0.0,1.3950736562246635,0.1534147857805254,0.0,1.586726583995376,0.2801011676151205,0.0,1.4450736562246638,0.1634147857805254,0.0,0.1198892831802368,0.4245030297173394,0.0,107.02798646886411
9,1,0.0280263968014195,-0.0721728054337094,0.0,-0.0280265356999846,0.0721728054337094,0.0,0.687284543844126,0.2883409195545322,0.0,0.6103616852930245,0.458262478744014,0.0,1.3861376713493248,0.2668997037080096,0.0,1.250859636586053,0.1149985665123359,0.0,1.3661376713493247,0.2768997037080096,0.0,1.230859636586053,0.1249985665123359,0.0,1.4161376713493248,0.2868997037080096,0.0,1.280859636586053,0.1349985665123359,0.0,0.1251290798187256,0.4202115376790364,0.0,109.85562802418576
