frame_idx,pose_detected,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,mid_hip_x,mid_hip_y,mid_hip_z,torso_length
0,1,0.282036346646,-0.038163735798,0.0,-0.282036346646,0.038163735798,0.0,0.196755481851,0.250964303999,0.0,-0.056396046773,0.668155096854,0.0,0.311710617524,0.698100775167,0.0,0.112257378637,1.266764386268,0.0,0.314240388384,0.723048894082,0.0,0.196161249828,1.335592701387,0.0,0.393329125416,0.994088896146,0.0,0.007751663999,1.515282032065,0.0,0.614607483149,0.447588980198,-0.000247234479,-0.253872814223
1,1,0.262386338694,-0.0345682089,0.0,-0.262386338694,0.0345682089,0.0,0.181608981052,0.294228461406,0.0,-0.056981566825,0.618502583403,0.0,0.294918835998,0.720756451252,0.0,0.104567934396,1.172319115124,0.0,0.298807658341,0.72127047101,0.0,0.173939745436,1.233782712638,0.0,0.365144884437,0.979242344587,0.0,0.031716604996,1.403997552851,0.0,0.614820331335,0.447226718068,-0.000244108029,-0.274356359688
2,1,0.249789449471,-0.031262367767,0.0,-0.249789449471,0.031262367767,0.0,0.172312568512,0.3598688365,0.0,-0.065586465462,0.5848203138,0.0,0.297413174945,0.753918777247,0.0,0.097608131529,1.109968131953,0.0,0.307949740439,0.759560781153,0.0,0.163838325244,1.168788646453,0.0,0.347542327071,0.996502882769,0.0,0.03795419307,1.330431243904,0.0,0.614757239819,0.447858393192,-0.000251055695,-0.289074931916
3,1,0.253060169194,-0.029020000633,0.0,-0.253060169194,0.029020000633,0.0,0.183583623382,0.453441964067,0.0,-0.074626761968,0.579667191189,0.0,0.324142605905,0.825990160828,0.0,0.093409389919,1.10679397048,0.0,0.32389556175,0.845414812699,0.0,0.159714254455,1.169487086858,0.0,0.372107818217,1.070726147067,0.0,0.038798295046,1.329002812557,0.0,0.614169389009,0.451173126698,-0.000283865258,-0.286871480235
4,1,0.243545179609,-0.026408479184,0.0,-0.243545179609,0.026408479184,0.0,0.186111868246,0.465959693732,0.0,-0.076048520045,0.550793126442,0.0,0.333793648175,0.852552735838,0.0,0.087449835125,1.051426663984,0.0,0.332702457573,0.878387825997,0.0,0.149652689311,1.111718786941,0.0,0.367118772816,1.087303621776,0.0,0.038100355946,1.261136851312,0.0,0.613906532526,0.45560438931,-0.000320157036,-0.298626649199
5,1,0.24782246655,-0.025008450446,0.0,-0.24782246655,0.025008450446,0.0,0.213609837479,0.498288403982,0.0,-0.079280394207,0.552625384236,0.0,0.346241262742,0.903090888403,0.0,0.085586712312,1.044211595806,0.0,0.340825459851,0.929829370163,0.0,0.146212842653,1.102948638191,0.0,0.38714537946,1.134060723136,0.0,0.036788134798,1.254052447313,0.0,0.613202005625,0.462100148201,-0.000336643308,-0.295106557086
6,1,0.25332044954,-0.022672137175,0.0,-0.25332044954,0.022672137175,0.0,0.248724103369,0.5337493183,0.0,-0.087238323028,0.559132113298,0.0,0.353726373621,0.957410725116,0.0,0.076840393854,1.042817669093,0.0,0.341726984983,0.996566194242,0.0,0.136505344619,1.098645171965,0.0,0.394839738937,1.1842808082,0.0,0.030671354584,1.255879485515,0.0,0.611380934715,0.466259717941,-0.000379148871,-0.291387184175
7,1,0.250604663831,-0.021498392039,0.0,-0.250604663831,0.021498392039,0.0,0.271947583876,0.531444911823,0.0,-0.088083257457,0.54382317405,0.0,0.357169711434,0.967666845006,0.0,0.073616115416,1.014101821643,0.0,0.339968124126,1.014693151503,0.0,0.132408510004,1.069157221982,0.0,0.394957652504,1.189032655473,0.0,0.029043362383,1.224642774404,0.0,0.610816955566,0.47146050632,-0.000386832282,-0.294530656686
8,1,0.250612104248,-0.019611857718,0.0,-0.250612104248,0.019611857718,0.0,0.294256881868,0.542281663396,0.0,-0.090663704563,0.55007172168,0.0,0.361680050532,0.97955051998,0.0,0.070777715527,1.003816547494,0.0,0.344658445799,1.024511895859,0.0,0.129357143124,1.055401534205,0.0,0.403429654171,1.200169545849,0.0,0.0264814087,1.210098899479,0.0,0.610002011061,0.475231826305,-0.000393524766,-0.29494514199
9,1,0.26995171824,-0.020484435837,0.0,-0.26995171824,0.020484435837,0.0,0.337945813269,0.591695983929,0.0,-0.098250185002,0.599332082117,0.0,0.401290862427,1.084147879744,0.0,0.073603350534,1.081313920128,0.0,0.379826044485,1.130742581062,0.0,0.135940866531,1.131245257238,0.0,0.451478117322,1.319848486372,0.0,0.037474345404,1.30182999885,0.0,0.609859108925,0.477332562208,-0.00037689507,-0.273314536486
